,question_type,size,valid_answer,correct_answer,time_processed,correct_percentage
0,yes_no_v3,16734,16545,6515,1072 min 42 sec,0.38932711844149637
1,when_v3,16734,16728,1590,978 min 27 sec,0.095016134815346
2,until_when_v3,6492,6492,239,421 min 36 sec,0.03681454097350585
3,left_open_v3,6492,6492,490,439 min 47 sec,0.07547751078250153
4,right_open_v3,6492,6492,423,429 min 42 sec,0.06515711645101664
5,when_to_when_v3,6492,4181,39,523 min 31 sec,0.006007393715341959
6,duration_v3,6492,6462,462,433 min 47 sec,0.0711645101663586
