,question_type,size,valid_answer,correct_answer,time_processed,correct_percentage
0,yes_no_v2,16734,14993,3536,24 min 50 sec,0.21130632245727263
1,when_v2,16734,16647,1279,33 min 58 sec,0.07643121787976574
2,until_when_v2,6492,6273,235,14 min 3 sec,0.03619839802834258
3,left_open_v2,6492,6451,124,8 min 43 sec,0.019100431300061615
4,right_open_v2,6492,4622,246,20 min 52 sec,0.03789279112754159
5,when_to_when_v2,6492,1233,8,12 min 33 sec,0.0012322858903265558
6,duration_v2,6492,5053,223,18 min 24 sec,0.03434996919285274
