,question_type,size,valid_answer,correct_answer,time_processed,correct_percentage
0,yes_no_v1,16734,15373,4536,23 min 36 sec,0.27106489781283616
1,when_v1,16734,16656,1285,34 min 6 sec,0.07678976933189913
2,until_when_v1,6492,6329,232,13 min 3 sec,0.035736290819470114
3,left_open_v1,6492,6463,124,8 min 37 sec,0.019100431300061615
4,right_open_v1,6492,4233,215,20 min 49 sec,0.03311768330252619
5,when_to_when_v1,6492,920,6,11 min 53 sec,0.0009242144177449168
6,duration_v1,6492,5189,307,17 min 60 sec,0.047288971041281574
